key_droid	key_apple	base_value	lang_value	base_comment
food_info_serving_sizes_exercise[metric][1]	dozeExerciseServing[metric][1]	40 minutes of vigorous-intensity activity	40 perc nagy intenzitású edzés	  
food_info_types_berries[0]	dozeBerriesVarietyText[0]	Acai berries	Acai bogyó	  
food_info_types_berries[1]	dozeBerriesVarietyText[1]	Barberries	Borbolya	  
food_info_types_berries[2]	dozeBerriesVarietyText[2]	Blackberries	Földi szederSzeder (eperfa termés)	  
food_info_types_berries[3]	dozeBerriesVarietyText[3]	Blueberries	Áfonya	  
food_info_types_berries[4]	dozeBerriesVarietyText[4]	Cherries (sweet or tart)	Cseresznye vagy meggy	  
food_info_types_berries[5]	dozeBerriesVarietyText[5]	Concord grapes	Concord szőlő	  
food_info_types_berries[6]	dozeBerriesVarietyText[6]	Cranberries	Vörös áfonya, tözegáfonya	  
food_info_types_berries[7]	dozeBerriesVarietyText[7]	Goji berries	Goji bogyó	  
food_info_types_berries[8]	dozeBerriesVarietyText[8]	Kumquats	Kumkvat	  
food_info_types_berries[9]	dozeBerriesVarietyText[9]	Mulberries	Földi szeder	  
food_info_types_berries[10]	dozeBerriesVarietyText[10]	Raspberries (black or red)	Málna (fekete vagy vörös)	  
food_info_types_berries[11]	dozeBerriesVarietyText[11]	Strawberries	Eper	  
food_info_types_greens[0]	dozeGreensVarietyText[0]	Arugula	Rukkola (borsmustár)	  
food_info_types_greens[1]	dozeGreensVarietyText[1]	Beet greens	Céklalevél	  
food_info_types_greens[2]	dozeGreensVarietyText[2]	Collard greens	Kelkáposzta levél	  
food_info_types_greens[3]	dozeGreensVarietyText[3]	Kale (black, green, and red)	Fodros kel (fekete, zöld, és vörös)	  
food_info_types_greens[4]	dozeGreensVarietyText[4]	Mesclun mix (assorted young salad greens)	Mix Mesclun (Assortimento di insalta giovane)	  
food_info_types_greens[5]	dozeGreensVarietyText[5]	Mustard greens	Senape verde	  
food_info_types_greens[6]	dozeGreensVarietyText[6]	Sorrel	Acetosa	  
food_info_types_greens[7]	dozeGreensVarietyText[7]	Spinach	Spinaci	  
food_info_types_greens[8]	dozeGreensVarietyText[8]	Swiss chard	Bietola	  
food_info_types_greens[9]	dozeGreensVarietyText[9]	Turnip greens	Fehérrépa zöldje	  
food_info_types_beans[0]	dozeBeansVarietyText[0]	Black beans	Fekete bab	  
food_info_types_beans[1]	dozeBeansVarietyText[1]	Black-eyed peas	Szembab	  
food_info_types_beans[2]	dozeBeansVarietyText[2]	Butter beans	Vajbab	  
food_info_types_beans[3]	dozeBeansVarietyText[3]	Cannellini beans	Cannellini bab	  
food_info_types_beans[4]	dozeBeansVarietyText[4]	Chickpeas	Csicseriborsó	  
food_info_types_beans[5]	dozeBeansVarietyText[5]	Edamame	Zöldbab	  
food_info_types_beans[6]	dozeBeansVarietyText[6]	English peas	Zöldborsó	  
food_info_types_beans[7]	dozeBeansVarietyText[7]	Garbanzo beans	Garbanzo bab (csicseriborsó)	  
food_info_types_beans[8]	dozeBeansVarietyText[8]	Great northern beans	Nagy északi bab	  
food_info_types_beans[9]	dozeBeansVarietyText[9]	Kidney beans	Kidney bab	  
food_info_types_beans[10]	dozeBeansVarietyText[10]	Lentils (beluga, french, and red varieties)	Lencse (beluga, francia, vörös)	  
food_info_types_beans[11]	dozeBeansVarietyText[11]	Miso	Miso	  
food_info_types_beans[12]	dozeBeansVarietyText[12]	Navy beans	Fehér bab	  
food_info_types_beans[13]	dozeBeansVarietyText[13]	Pinto beans	Tarka bab	  
food_info_types_beans[14]	dozeBeansVarietyText[14]	Small red beans	Apró vörösbab	  
food_info_types_beans[15]	dozeBeansVarietyText[15]	Split peas (yellow or green)	Feles (sárga vagy zöld) borsó	  
food_info_types_beans[16]	dozeBeansVarietyText[16]	Tempeh	Tempe	  
food_info_types_flaxseeds[0]	dozeFlaxseedsVarietyText[0]	Brown flaxseeds	Barna lenmag	  
food_info_types_flaxseeds[1]	dozeFlaxseedsVarietyText[1]	Golden flaxseeds	Arany lenmag	  
food_info_types_exercise[0]	dozeExerciseVarietyText[0]	Bicycling	Biciklizés	  
food_info_types_exercise[1]	dozeExerciseVarietyText[1]	Canoeing	Kenuzás	  
food_info_types_exercise[2]	dozeExerciseVarietyText[2]	Dancing	Tánc	  
food_info_types_exercise[3]	dozeExerciseVarietyText[3]	Dodgeball	Kidobós	  
food_info_types_exercise[4]	dozeExerciseVarietyText[4]	Downhill skiing	Síelés	  
food_info_types_exercise[5]	dozeExerciseVarietyText[5]	Fencing	Vívás	  
food_info_types_exercise[6]	dozeExerciseVarietyText[6]	Hiking	Túrázás	  
food_info_types_exercise[7]	dozeExerciseVarietyText[7]	Housework	Házimunka	  
food_info_types_exercise[8]	dozeExerciseVarietyText[8]	Ice-skating	Korcsolyázás	  
food_info_types_exercise[9]	dozeExerciseVarietyText[9]	Inline skating	Vonalon belüli gördeszkázás	  
food_info_types_exercise[10]	dozeExerciseVarietyText[10]	Juggling	Zsonglőrködés	  
food_info_types_exercise[11]	dozeExerciseVarietyText[11]	Jumping on a trampoline	Trambulinon ugrálás	  
food_info_types_exercise[12]	dozeExerciseVarietyText[12]	Paddle boating	Evezés	  
food_info_types_exercise[13]	dozeExerciseVarietyText[13]	Playing frisbee	Frizbizés	  
food_info_types_exercise[14]	dozeExerciseVarietyText[14]	Roller-skating	Görkorcsolyázás	  
food_info_types_exercise[15]	dozeExerciseVarietyText[15]	Shooting baskets	Kosárra dobás	  
food_info_types_exercise[16]	dozeExerciseVarietyText[16]	Shoveling light snow	Könnyű hólapátolás	  
food_info_types_exercise[17]	dozeExerciseVarietyText[17]	Skateboarding	Gördeszkázás	  
food_info_types_exercise[18]	dozeExerciseVarietyText[18]	Snorkeling	Búvárkodás (könnyűbúvár)	  
food_info_types_exercise[19]	dozeExerciseVarietyText[19]	Surfing	Szörfözés	  
food_info_types_exercise[20]	dozeExerciseVarietyText[20]	Swimming recreationally	Pihentető úszás	  
food_info_types_exercise[21]	dozeExerciseVarietyText[21]	Tennis (doubles)	Tenisz (páros)	  
food_info_types_exercise[22]	dozeExerciseVarietyText[22]	Treading water	Víztaposás	  
food_info_types_exercise[23]	dozeExerciseVarietyText[23]	Walking briskly (4 mph)	Tempós gyaloglás (6 km/h)	  
food_info_types_exercise[24]	dozeExerciseVarietyText[24]	Water aerobics	Vízi aerobic	  
food_info_types_exercise[25]	dozeExerciseVarietyText[25]	Waterskiing	Vizisíelés	  
food_info_types_exercise[26]	dozeExerciseVarietyText[26]	Yard work	Kerti munka	  
food_info_types_exercise[27]	dozeExerciseVarietyText[27]	Yoga	Jóga	  
food_info_types_exercise[28]	dozeExerciseVarietyText[28]	Backpacking	Túrázás	  
food_info_types_exercise[29]	dozeExerciseVarietyText[29]	Basketball	Kosárlabda	  
food_info_types_exercise[30]	dozeExerciseVarietyText[30]	Bicycling uphill	Biciklizés emelkedőn	  
food_info_types_exercise[31]	dozeExerciseVarietyText[31]	Circuit weight training	Súlyzós köredzés	  
food_info_types_exercise[32]	dozeExerciseVarietyText[32]	Cross-country skiing	Sífutás	  
food_info_types_exercise[33]	dozeExerciseVarietyText[33]	Football	(Amerikai) futball	  
food_info_types_exercise[34]	dozeExerciseVarietyText[34]	Hockey	Jégkorong	  
food_info_types_exercise[35]	dozeExerciseVarietyText[35]	Jogging	Kocogás	  
food_info_types_exercise[36]	dozeExerciseVarietyText[36]	Jumping jacks	Terpeszugrás	  
food_info_types_exercise[37]	dozeExerciseVarietyText[37]	Jumping rope	Ugrókötelezés	  
food_info_types_exercise[38]	dozeExerciseVarietyText[38]	Lacrosse	Lacrosse	  
food_info_types_exercise[39]	dozeExerciseVarietyText[39]	Push-ups	Fekvőtámasz	  
food_info_types_exercise[40]	dozeExerciseVarietyText[40]	Pull-ups	Húzódzkodás	  
food_info_types_exercise[41]	dozeExerciseVarietyText[41]	Racquetball	Raketball 	  
food_info_types_exercise[42]	dozeExerciseVarietyText[42]	Rock climbing	Sziklamászás	  
food_info_types_exercise[43]	dozeExerciseVarietyText[43]	Rugby	Rögbi	  
food_info_types_exercise[44]	dozeExerciseVarietyText[44]	Running	Futás	  
food_info_types_exercise[45]	dozeExerciseVarietyText[45]	Scuba diving	Búvárkodás (mélymerülés)	  
food_info_types_exercise[46]	dozeExerciseVarietyText[46]	Tennis (singles)	Tenisz (egyéni)	  
food_info_types_exercise[47]	dozeExerciseVarietyText[47]	Soccer	Futball	  
food_info_types_exercise[48]	dozeExerciseVarietyText[48]	Speed skating	Pattinaggio veloce	  
food_info_types_exercise[49]	dozeExerciseVarietyText[49]	Squash	Squash	  
food_info_types_exercise[50]	dozeExerciseVarietyText[50]	Step aerobics	Aerobic	  
food_info_types_exercise[51]	dozeExerciseVarietyText[51]	Swimming laps	Úszás	  
food_info_types_exercise[52]	dozeExerciseVarietyText[52]	Walking briskly uphill	Gyorsgyaloglás emelkedőn	  
food_info_types_exercise[53]	dozeExerciseVarietyText[53]	Water jogging	Vízi kocogás (aqua jogging)	  
food_info_types_whole_grains[0]	dozeWholeGrainsVarietyText[0]	Barley	Árpa	  
food_info_types_whole_grains[1]	dozeWholeGrainsVarietyText[1]	Buckwheat	Hajdina	  
food_info_types_whole_grains[2]	dozeWholeGrainsVarietyText[2]	Millet	Köles	  
food_info_types_whole_grains[3]	dozeWholeGrainsVarietyText[3]	Oats	Zab	  
food_info_types_whole_grains[4]	dozeWholeGrainsVarietyText[4]	Popcorn	Pattogatott kukorica	  
food_info_types_whole_grains[5]	dozeWholeGrainsVarietyText[5]	Quinoa	Quinoa	  
food_info_types_whole_grains[6]	dozeWholeGrainsVarietyText[6]	Rye	Rozs	  
food_info_types_whole_grains[7]	dozeWholeGrainsVarietyText[7]	Teff	Teff	  
food_info_types_whole_grains[8]	dozeWholeGrainsVarietyText[8]	Whole-wheat pasta	Teljes kiőrlésű tészta	  
food_info_types_beverages[0]	dozeBeveragesVarietyText[0]	Black tea	Fekete tea	  
food_info_types_beverages[1]	dozeBeveragesVarietyText[1]	Chai tea	Chai tea	  
food_info_types_beverages[2]	dozeBeveragesVarietyText[2]	Vanilla chamomile tea	Kamilla tea	  
food_info_types_beverages[3]	dozeBeveragesVarietyText[3]	Coffee	Kávé	  
food_info_types_beverages[4]	dozeBeveragesVarietyText[4]	Earl grey tea	Earl Grey tea	  
food_info_types_beverages[5]	dozeBeveragesVarietyText[5]	Green tea	Zöld tea	  
food_info_types_beverages[6]	dozeBeveragesVarietyText[6]	Hibiscus tea	Hibiszkusz tea	  
food_info_types_beverages[7]	dozeBeveragesVarietyText[7]	Hot chocolate	Forró csokoládé	  
food_info_types_beverages[8]	dozeBeveragesVarietyText[8]	Jasmine tea	Jázmin tea	  
food_info_types_beverages[9]	dozeBeveragesVarietyText[9]	Lemon balm tea	Citromfű tea	  
food_info_types_beverages[10]	dozeBeveragesVarietyText[10]	Matcha tea	Matcha tea	  
food_info_types_beverages[11]	dozeBeveragesVarietyText[11]	Almond blossom oolong tea	Mandulavirág tea	  
food_info_types_beverages[12]	dozeBeveragesVarietyText[12]	Peppermint tea	Borsmenta tea	  
food_info_types_beverages[13]	dozeBeveragesVarietyText[13]	Rooibos tea	Rooibos (afrikai vöröstea)	  
food_info_types_beverages[14]	dozeBeveragesVarietyText[14]	Water	Víz	  
food_info_types_beverages[15]	dozeBeveragesVarietyText[15]	White tea	Fehér tea	  
food_info_types_nuts[0]	dozeNutsVarietyText[0]	Almonds	Mandula	  
food_info_types_nuts[1]	dozeNutsVarietyText[1]	Brazil nuts	Brazil dió (paradió) 	  
food_info_types_nuts[2]	dozeNutsVarietyText[2]	Cashews	Kesudió	  
food_info_types_nuts[3]	dozeNutsVarietyText[3]	Chia seeds	Chia mag	  
food_info_types_nuts[4]	dozeNutsVarietyText[4]	Hazelnuts	Mogyoró (törökmogyoró)	  
food_info_types_nuts[5]	dozeNutsVarietyText[5]	Hemp seeds	Kendermag	  
food_info_types_nuts[6]	dozeNutsVarietyText[6]	Macadamia nuts	Makadámdió	  
food_info_types_nuts[7]	dozeNutsVarietyText[7]	Pecans	Pekándió	  
food_info_types_nuts[8]	dozeNutsVarietyText[8]	Pistachios	Pisztácia	  
food_info_types_nuts[9]	dozeNutsVarietyText[9]	Pumpkin seeds	Tökmag	  
food_info_types_nuts[10]	dozeNutsVarietyText[10]	Sesame seeds	Szezámmag	  
food_info_types_nuts[11]	dozeNutsVarietyText[11]	Sunflower seeds	Napraforgómag	  
food_info_types_nuts[12]	dozeNutsVarietyText[12]	Walnuts	Dió	  
food_info_types_other_vegetables[0]	dozeVegetablesOtherVarietyText[0]	Artichokes	Articsóka	  
food_info_types_other_vegetables[1]	dozeVegetablesOtherVarietyText[1]	Asparagus	Spárga	  
food_info_types_other_vegetables[2]	dozeVegetablesOtherVarietyText[2]	Beets	Cékla	  
food_info_types_other_vegetables[3]	dozeVegetablesOtherVarietyText[3]	Bell peppers	Kaliforniai paprika	  
food_info_types_other_vegetables[4]	dozeVegetablesOtherVarietyText[4]	Carrots	Sárgarépa	  
food_info_types_other_vegetables[5]	dozeVegetablesOtherVarietyText[5]	Corn	Kukorica	  
food_info_types_other_vegetables[6]	dozeVegetablesOtherVarietyText[6]	Garlic	Fokhagyma	  
food_info_types_other_vegetables[7]	dozeVegetablesOtherVarietyText[7]	Mushrooms (button, oyster, portobello, and shiitake)	Gomba (csiperke, laska, portobello és siitake)	  
food_info_types_other_vegetables[8]	dozeVegetablesOtherVarietyText[8]	Okra	Okra	  
food_info_types_other_vegetables[9]	dozeVegetablesOtherVarietyText[9]	Onions	Hagyma	  
food_info_types_other_vegetables[10]	dozeVegetablesOtherVarietyText[10]	Purple potatoes	Lila burgonya	  
food_info_types_other_vegetables[11]	dozeVegetablesOtherVarietyText[11]	Pumpkin	Sütőtök	  
food_info_types_other_vegetables[12]	dozeVegetablesOtherVarietyText[12]	Sea vegetables (arame, dulse, and nori)	Tengeri zöldségek (arame, dulse és nori)	  
food_info_types_other_vegetables[13]	dozeVegetablesOtherVarietyText[13]	Snap peas	Cukorborsó	  
food_info_types_other_vegetables[14]	dozeVegetablesOtherVarietyText[14]	Squash (delicata, summer, and spaghetti squash varieties)	Tök (delicata, spárga és spagetto tök)	  
food_info_types_other_vegetables[15]	dozeVegetablesOtherVarietyText[15]	Sweet potatoes/yams	Édesburgonya	  
food_info_types_other_vegetables[16]	dozeVegetablesOtherVarietyText[16]	Tomatoes	Paradicsom	  
food_info_types_other_vegetables[17]	dozeVegetablesOtherVarietyText[17]	Zucchini	Cukkíni	  
food_info_types_cruciferous_vegetables[0]	dozeVegetablesCruciferousVarietyText[0]	Arugula	Rukkola (borsmustár)	  
food_info_types_cruciferous_vegetables[1]	dozeVegetablesCruciferousVarietyText[1]	Bok choy	Bokcsoj	  
food_info_types_cruciferous_vegetables[2]	dozeVegetablesCruciferousVarietyText[2]	Broccoli (incl. Romanesco)	Brokkoli (Romanesco-t is beleértve	  
food_info_types_cruciferous_vegetables[3]	dozeVegetablesCruciferousVarietyText[3]	Brussels sprouts	Bimbós kel	  
food_info_types_cruciferous_vegetables[4]	dozeVegetablesCruciferousVarietyText[4]	Cabbage (green, red and savoy)	Káposzta (zöld, vörös, és Savoy)	  
food_info_types_cruciferous_vegetables[5]	dozeVegetablesCruciferousVarietyText[5]	Cauliflower (white, green, orange and purple)	Karfiol (fehér, zöld, narancs, és lila)	  
food_info_types_cruciferous_vegetables[6]	dozeVegetablesCruciferousVarietyText[6]	Collard greens	Kelkáposzta	  
food_info_types_cruciferous_vegetables[7]	dozeVegetablesCruciferousVarietyText[7]	Horseradish	Torma	  
food_info_types_cruciferous_vegetables[8]	dozeVegetablesCruciferousVarietyText[8]	Kale (black, green, and red)	Fodros kel (fekete, zöld, és vörös)	  
food_info_types_cruciferous_vegetables[9]	dozeVegetablesCruciferousVarietyText[9]	Kohlrabi (green and purple)	Karalábé (zöld és lila)	  
food_info_types_cruciferous_vegetables[10]	dozeVegetablesCruciferousVarietyText[10]	Mustard greens	Mustárlevél	  
food_info_types_cruciferous_vegetables[11]	dozeVegetablesCruciferousVarietyText[11]	Radishes	Retek	  
food_info_types_cruciferous_vegetables[12]	dozeVegetablesCruciferousVarietyText[12]	Turnip greens	Fehérrépa	  
food_info_types_cruciferous_vegetables[13]	dozeVegetablesCruciferousVarietyText[13]	Watercress	Vízitorma	  
food_info_types_other_fruits[0]	dozeFruitsOtherVarietyText[0]	Apples	Alma	  
food_info_types_other_fruits[1]	dozeFruitsOtherVarietyText[1]	Dried apricots	Őszibarack	  
food_info_types_other_fruits[2]	dozeFruitsOtherVarietyText[2]	Avocados	Avokádó	  
food_info_types_other_fruits[3]	dozeFruitsOtherVarietyText[3]	Bananas	Banán	  
food_info_types_other_fruits[4]	dozeFruitsOtherVarietyText[4]	Cantaloupe	Sárgadinnye (kantalup)	  
food_info_types_other_fruits[5]	dozeFruitsOtherVarietyText[5]	Clementines	Mandarin (clementine)	  
food_info_types_other_fruits[6]	dozeFruitsOtherVarietyText[6]	Dates	Datolya	  
food_info_types_other_fruits[7]	dozeFruitsOtherVarietyText[7]	Dried figs	Aszalt füge	  
food_info_types_other_fruits[8]	dozeFruitsOtherVarietyText[8]	Grapefruit	Grépfrút	  
food_info_types_other_fruits[9]	dozeFruitsOtherVarietyText[9]	Honeydew	Sárgadinnye	  
food_info_types_other_fruits[10]	dozeFruitsOtherVarietyText[10]	Kiwifruit	Kivi	  
food_info_types_other_fruits[11]	dozeFruitsOtherVarietyText[11]	Lemons	Citrom	  
food_info_types_other_fruits[12]	dozeFruitsOtherVarietyText[12]	Limes	Zöldcitrom	  
food_info_types_other_fruits[13]	dozeFruitsOtherVarietyText[13]	Lychees	Licsi	  
food_info_types_other_fruits[14]	dozeFruitsOtherVarietyText[14]	Mangos	Mangó	  
food_info_types_other_fruits[15]	dozeFruitsOtherVarietyText[15]	Nectarines	Nektarin (kopaszbarack)	  
food_info_types_other_fruits[16]	dozeFruitsOtherVarietyText[16]	Oranges	Narancs	  
food_info_types_other_fruits[17]	dozeFruitsOtherVarietyText[17]	Papaya	Papaja	  
food_info_types_other_fruits[18]	dozeFruitsOtherVarietyText[18]	Passion fruit	Maracuja (passiógyümölcs)	  
food_info_types_other_fruits[19]	dozeFruitsOtherVarietyText[19]	Peaches	Őszibarack	  
food_info_types_other_fruits[20]	dozeFruitsOtherVarietyText[20]	Pears	Körte	  
